"cloud number" xcm ycm zcm mass r_90 vdisp_x vdisp_y vdisp_z alpha_vir alpha_vir_s
60 -7.671227932825153 0.9352119869548903 -0.09355581145451242 5507041.4755859375 0.06604561277159535 13.017124831374911 14.597497721271795 7.714875233186744 2.0543031390654565 1.3079304714318283
61 3.8971374396100114 -2.483095873043394 -0.12558765344720463 5473452.623046875 0.10450233276611148 41.013865357673566 57.233545763325395 35.447657825665146 45.975478426833526 25.6075103213696
62 -2.834002761112899 5.285785425572705 0.10637214778043519 5005004.361328125 0.084051965343692 32.08575014785525 38.250494505881996 39.39328002871044 26.31880031730796 15.17332078472391
63 6.237150956699096 2.12396910750368 0.3470246491530338 5238542.9208984375 0.07406552371437312 7.767488992927184 17.370980093305768 7.045268327374711 2.255661838638323 1.399750857006777
64 3.188516972727294 -3.0511927199190976 -0.16344572776645375 5147807.8525390625 0.08377084480904072 23.023082192057732 47.06477480505954 32.228878827870496 23.86002669890726 14.766165550341686
65 -5.238071009016077 -4.448681322727325 -0.23812661994726872 4854098.7939453125 0.07800758692449059 15.671253912361983 14.956737293602393 17.312521345944255 4.788826855005634 3.0451157865295944
66 1.1825488660962622 -4.647388524429152 -0.19331976854860033 4515510.093261719 0.07036079251525308 24.624136788242257 35.81295871305631 21.52334973017285 14.202294157281749 8.857079891393857
67 3.4938303117164886 -4.27520883581935 -0.17116597157442767 4640624.224609375 0.10933362267636805 31.709365474690966 65.24962309425015 67.56929510149371 89.72946086648413 44.388961535832614
68 -8.400157573539188 -0.8956614678427915 0.6178859501702614 4244250.307128906 0.06602072518877157 18.167610636300843 12.864518700899039 17.70066791692666 4.875561397000555 3.1199504194206136
69 -7.136819983699397 -2.85066705524717 0.6427369840993863 4332240.0615234375 0.06626847773787883 9.587869349840728 8.466373717517783 7.502912979392451 1.3034257954101138 0.7939646765347728
70 5.323865017121886 2.1244253668501965 -0.23366907554179936 4550964.500488281 0.08566991487337533 13.39504790190873 10.186899761761131 14.82746813988168 3.669486508614565 2.164072897853103
71 1.9231856843429143 1.2071080011316058 0.16101074143536317 4356132.175292969 0.0692766420339378 26.24289851262114 20.644464769818715 39.723692566555556 16.594515381132513 10.236168970856694
72 -5.962037642993811 -1.2566178230218865 0.36413508833450675 4402076.1513671875 0.057550435464648164 7.976548338087834 6.533260288901618 11.403421537605274 1.1973100200591458 0.8194052869518087
73 -0.15893565059071177 -5.279289708766086 0.22224340875821932 4221444.478027344 0.05181592259468509 18.223934310207643 19.171991864259894 15.055447785088454 4.40595444111355 2.6692392715245497
74 -6.573832768560599 2.557089966137653 -0.21483612349562953 4051434.7348632812 0.12216987086769772 12.672028360790236 8.986562304314454 10.075605649674431 4.006206511475909 1.8274922415366568
75 -2.0532477149140487 -1.9164930009999808 -0.8116790167720112 4599630.262207031 0.06660811625029184 11.181398236943474 10.28665599329929 7.769810620151298 1.6340850484510894 0.9810585707934802
76 8.25229984985803 -1.7095834468533002 0.5210564081222336 4254294.478515625 0.0887024858880049 22.271491748525694 17.561032800272937 13.355322737975083 7.94012979823477 4.272776868853714
77 -4.0838567996555435 4.403673544928299 0.24443330588409926 4119460.453125 0.07927121353375012 12.950330553029136 13.511706380127855 12.085316104428031 3.7009509149376942 2.1841907565046457
78 5.248549505063033 2.3887938117801264 -0.13612297529910172 4119394.8901367188 0.08724696578288725 10.751627290365102 12.514391427889448 17.47914785133143 4.7413951685491025 2.736183938065112
79 1.4108934912134594 -4.744652386669957 -0.2159584093418165 3913794.1538085938 0.07159575139274858 28.798329932197984 44.18259204025987 36.4375386328291 29.12768129353214 16.92080795371497
80 4.5391121970594375 2.4514513435883156 -0.04539706073644227 3856215.240234375 0.08375242823950596 33.53846293677558 34.23826974849143 43.16282861576771 35.0112395541791 20.733469382201978
81 -1.280651053746136 -4.882417491992155 -0.40035607232691517 3920045.4814453125 0.06848128333298685 13.302519025117597 12.563939987346949 20.17514689886338 5.021811354831745 3.220601968489202
82 -7.53208922455296 -2.04892412214173 0.252446982518628 3904570.4384765625 0.06819139330940596 18.882047489149553 18.080646037264646 13.9662933429415 5.945155930605695 3.924295972719499
83 5.249783004111598 2.5462851643876063 -0.032403234357765334 4248863.138183594 0.08141723472475006 14.145181651706398 19.180879424244672 21.91733552778909 7.784318452196531 4.592035816825201
84 -0.9415618232899751 -0.739583551973147 -0.49117708809652216 4185854.9799804688 0.06743418695658421 27.524573372808426 17.040610404328444 37.3251692847593 15.239007179616005 8.652112383438977
85 5.178457351843197 2.7784683087330366 0.27719650666413026 3974301.6684570312 0.05310547222468123 28.604327243807447 15.692306787878987 20.885477590673954 7.770094184831361 5.073980063818768
86 7.749910854198126 1.0605471505839594 0.4845808814228048 3953771.6010742188 0.06736014741547793 20.660938641726684 17.200435162145357 19.07953003078397 7.174472691069224 3.972301763558407
87 -1.6063754629513332 -5.0773994676999115 -0.10125940081020474 3867375.4765625 0.07345506101079226 14.97718370738148 13.498584705416885 15.194889324306006 4.691283836247273 2.832470356104185
